id,user_id,active,balance,created_at,updated_at,debt
660,d5e6fbc5-7606-4178-bdf0-ce99a4213214,1,0,2022-08-31 18:10:14.652+00,2022-12-01 01:35:00.774+00,0
926,1f209690-ded5-4bb9-a6fc-c5c918245d10,1,19.15,2022-08-31 18:10:36.341+00,2022-12-02 15:33:39.234+00,0
2032,f2906f77-2042-4c60-bb52-f907fec47ff6,1,0,2022-12-01 16:16:50.174+00,2022-12-01 16:16:50.174+00,0
2033,7c56ff66-9dd2-48ae-b995-1a12d1db148a,1,0,2022-12-03 16:11:00.343+00,2022-12-03 16:11:00.343+00,0
615,1e034b01-2126-4750-ba00-f3e8841b8d06,1,0,2022-08-31 18:10:10.893+00,2022-12-01 01:35:00.573+00,0
2035,0f4c3327-cf49-4177-b98b-ff83215e89b1,1,0,2022-12-18 17:34:47.586+00,2022-12-18 17:34:47.586+00,0
2027,77fb69b5-c644-4e06-80d3-be618a7283cc,1,0,2022-11-21 15:27:47.801+00,2022-12-01 01:35:08.71+00,0
616,1bd6643d-e7d3-4aa1-b64a-dc93eaa18da4,1,0,2022-08-31 18:10:11.099+00,2022-12-01 01:35:00.577+00,0
617,e42d4a41-8faa-4424-a85c-085472450951,1,0,2022-08-31 18:10:11.17+00,2022-12-01 01:35:00.584+00,0
618,6c97061a-ac9d-4377-9041-5c8e40fd5961,1,0,2022-08-31 18:10:11.239+00,2022-12-01 01:35:00.593+00,0
619,3cc856f2-55da-4786-9da1-44fe4a06bbab,1,0,2022-08-31 18:10:11.322+00,2022-12-01 01:35:00.597+00,0
620,e4f41e40-cae2-4471-9f60-f61cf36505b0,1,0,2022-08-31 18:10:11.401+00,2022-12-01 01:35:00.601+00,0
622,9a5ce75e-7bbb-44a2-944a-d996a348722b,1,0,2022-08-31 18:10:11.624+00,2022-12-01 01:35:00.605+00,0
623,2fc473ec-69f2-4ab2-ac92-2a5195f34073,1,0,2022-08-31 18:10:11.693+00,2022-12-01 01:35:00.609+00,0
624,d5472c19-e9a8-408d-943d-a13b375fbe52,1,0,2022-08-31 18:10:11.761+00,2022-12-01 01:35:00.613+00,0
625,738a9138-8e3e-4432-9da4-50fcecb03c11,1,0,2022-08-31 18:10:11.831+00,2022-12-01 01:35:00.617+00,0
626,e16154b5-6842-4f94-9c0c-7c8236bdf54e,1,0,2022-08-31 18:10:11.901+00,2022-12-01 01:35:00.621+00,0
627,b3bdd45c-5a2e-4ea9-94d4-bfd996ca7770,1,0,2022-08-31 18:10:11.971+00,2022-12-01 01:35:00.625+00,0
621,0fe0635a-5eac-4e48-bf04-7df7a6109d10,1,0,2022-08-31 18:10:11.54+00,2022-08-31 18:10:11.54+00,0
630,06a6cd1c-c28d-4c61-8312-32fbff691b63,1,0,2022-08-31 18:10:12.182+00,2022-12-01 01:35:00.655+00,0
631,8cd99430-de65-48dd-b7c4-3d283af243a5,1,0,2022-08-31 18:10:12.257+00,2022-12-01 01:35:00.659+00,0
632,75bad9be-030e-4120-afbb-ad143192fccc,1,0,2022-08-31 18:10:12.329+00,2022-12-01 01:35:00.664+00,0
633,8fbaa0eb-e4ee-4d5f-b173-8a93f4cda533,1,0,2022-08-31 18:10:12.4+00,2022-12-01 01:35:00.667+00,0
634,4e7a5ec6-e95b-496c-bc35-d8e1eaaad1ed,1,0,2022-08-31 18:10:12.512+00,2022-12-01 01:35:00.671+00,0
635,17fded8e-11bc-41e0-9a53-6ebf4fdb7e16,1,0,2022-08-31 18:10:12.582+00,2022-12-01 01:35:00.675+00,0
636,76143493-a254-4938-87e9-75af499f321e,1,0,2022-08-31 18:10:12.655+00,2022-12-01 01:35:00.678+00,0
637,a6fba02a-8dc6-4ee2-9fd0-db29a443d8db,1,0,2022-08-31 18:10:12.726+00,2022-12-01 01:35:00.682+00,0
638,a3ed237c-fb2b-4994-8bcc-23beaca2462e,1,0,2022-08-31 18:10:12.795+00,2022-12-01 01:35:00.686+00,0
639,533b719b-7695-4830-84b1-5c9cfea4aa44,1,0,2022-08-31 18:10:12.864+00,2022-12-01 01:35:00.689+00,0
640,b4e44715-edb0-47b1-9ee0-8c554b1da1f6,1,0,2022-08-31 18:10:12.933+00,2022-12-01 01:35:00.701+00,0
730,ac5b0e04-bcae-4cc6-a01a-14e73054e06f,1,0,2022-08-31 18:10:19.79+00,2022-12-01 01:35:01.39+00,0
553,e6f8a614-bf03-4f69-86d4-de7c901c10c3,1,0,2022-08-31 18:10:05.993+00,2022-12-01 01:35:03.678+00,0
504,fb7a443d-aed7-4631-94b6-aa17f348a79c,1,19.255102700154005,2022-08-31 18:10:01.331+00,2022-12-16 08:08:57.717+00,0
2036,225a498d-3f82-4f96-8396-dcdbc5ff9b49,1,0,2022-12-19 13:36:53.905+00,2022-12-19 13:36:53.905+00,0
2028,bc60d77f-e495-4498-866e-2c153ec6299b,1,6.257561161460001,2022-11-22 12:57:12.406+00,2023-01-01 05:20:05.253+00,0
665,36ca83cd-5412-4d16-881e-e7523a82b1a6,1,0,2022-08-31 18:10:15.007+00,2022-12-01 01:35:00.793+00,0
666,85bd0b08-f33c-43dc-9b82-6d4682ccd62c,1,0,2022-08-31 18:10:15.077+00,2022-12-01 01:35:00.797+00,0
667,4fda3c0b-4cf7-4a20-b129-603c190efc2f,1,0,2022-08-31 18:10:15.147+00,2022-12-01 01:35:00.8+00,0
668,aac5ea91-e2a1-45c1-acc4-7d506da9c02f,1,0,2022-08-31 18:10:15.217+00,2022-12-01 01:35:00.804+00,0
669,5e08b0c2-bec1-4b55-84a6-f4c246303df2,1,0,2022-08-31 18:10:15.286+00,2022-12-01 01:35:00.808+00,0
671,5a82b8e0-498d-4146-bef8-86fc4789d9d7,1,0,2022-08-31 18:10:15.424+00,2022-12-01 01:35:00.815+00,0
693,61fe5893-d8cf-4f10-add7-85f7acdbe580,1,0,2022-08-31 18:10:17.034+00,2022-12-01 01:35:01.055+00,0
694,73b8530b-3eb6-40ef-9922-2a1cc1056a33,1,0,2022-08-31 18:10:17.121+00,2022-12-01 01:35:01.059+00,0
695,43853367-fd2b-48c8-bacf-536335bbea06,1,0,2022-08-31 18:10:17.192+00,2022-12-01 01:35:01.063+00,0
721,96be8f05-60b1-4cb1-9b74-c87c38111164,1,0,2022-08-31 18:10:19.163+00,2022-12-01 01:35:01.324+00,0
732,c61eefe5-384a-4011-8b36-1750c90b467f,1,0,2022-08-31 18:10:19.929+00,2022-12-01 01:35:01.408+00,0
980,bd51a267-4517-480c-b5a2-46e7ed836460,1,0,2022-08-31 18:10:41.505+00,2022-12-01 01:35:04.084+00,0
981,8ed2a624-7a1b-4475-bbb9-7824376f4bc5,1,0,2022-08-31 18:10:41.605+00,2022-12-01 01:35:04.088+00,0
982,bfd43a21-7782-4920-9ad3-f17924fd4286,1,0,2022-08-31 18:10:41.705+00,2022-12-01 01:35:04.092+00,0
582,f6cb4d22-4726-4441-b0d8-6624bbba0861,1,0,2022-08-31 18:10:08.302+00,2022-12-01 01:35:04.099+00,0
583,fd551211-42aa-479a-b6ac-f4ac87f42cce,1,0,2022-08-31 18:10:08.372+00,2022-12-01 01:35:04.102+00,0
585,da487d5a-0faa-4b79-a779-5a9758ba473c,1,0,2022-08-31 18:10:08.555+00,2022-12-01 01:35:04.106+00,0
505,a0c0fdaf-4df3-4324-a749-214bfa1b1082,1,0,2022-08-31 18:10:01.45+00,2022-12-01 01:35:04.113+00,0
506,56c57693-7cbe-4021-affc-102252caa887,1,0,2022-08-31 18:10:01.524+00,2022-12-01 01:35:04.116+00,0
510,74c7cc05-fc31-47ce-b59f-410f1a3b1068,1,0,2022-08-31 18:10:02.021+00,2022-12-01 01:35:04.123+00,0
1309,04b40112-3495-48db-b11d-6a802e79d93e,1,0,2022-08-31 18:11:13.545+00,2022-12-01 01:35:05.747+00,0
1310,40f837ce-d0bb-4db8-89c9-2ae06f0a703f,1,0,2022-08-31 18:11:13.623+00,2022-12-01 01:35:05.75+00,0
2037,7e60dcec-44e8-4af0-b414-4aaec54681b5,1,0,2022-12-20 10:48:43.704+00,2022-12-20 10:48:43.704+00,0
644,d2d7a68c-1f4f-4f26-ac4c-fd49cd9f8355,1,0,2022-08-31 18:10:13.208+00,2022-12-01 01:35:00.717+00,0
645,c99b794f-2fa0-4efa-b297-d9d185562f10,1,0,2022-08-31 18:10:13.277+00,2022-12-01 01:35:00.722+00,0
2029,45e7a993-02ed-4654-b91c-4baa22ab1a0a,1,0,2022-11-23 12:45:48.86+00,2022-12-01 01:35:08.714+00,0
1364,1a28d62d-4f01-49e6-af96-6af3bcdb1a76,1,0,2022-08-31 18:11:19.09+00,2022-12-01 01:35:06.044+00,0
2030,1960ecd9-dd5f-47b4-95c1-d0671c5cdded,1,0,2022-11-24 20:07:35.888+00,2022-12-01 01:35:08.717+00,0
744,a62a0ef7-6951-4d63-b130-f8f422d20600,1,0,2022-08-31 18:10:20.88+00,2022-12-01 01:35:01.52+00,0
745,125b606f-05bc-4642-a690-6c737839cd2e,1,0,2022-08-31 18:10:20.949+00,2022-12-01 01:35:01.523+00,0
2038,ac27a4f4-5e30-43f3-9de9-d48cd85179d6,1,0,2022-12-24 09:17:45.784+00,2022-12-24 09:17:45.784+00,0
746,89686a2c-4a7b-4129-a67a-58c602caa5aa,1,0,2022-08-31 18:10:21.018+00,2022-12-01 01:35:01.527+00,0
747,b868aa02-cd4d-4e23-8802-23a3bef05dcd,1,0,2022-08-31 18:10:21.088+00,2022-12-01 01:35:01.531+00,0
748,0e31632b-86b7-43d6-a232-c06758e97580,1,0,2022-08-31 18:10:21.159+00,2022-12-01 01:35:01.535+00,0
749,bcfe4cf3-9f28-4d71-825f-012016674c79,1,0,2022-08-31 18:10:21.229+00,2022-12-01 01:35:01.539+00,0
805,39c01f4c-ccc4-4898-8b95-8ce3ecebe6c9,1,0,2022-08-31 18:10:25.611+00,2022-12-01 01:35:02.433+00,0
820,5e6a4e3a-b4cb-4833-98c0-5db3454df41c,1,0,2022-08-31 18:10:26.69+00,2022-12-01 01:35:02.439+00,0
821,160fb29f-1afd-49a1-93b5-e90cd1e3319b,1,0,2022-08-31 18:10:26.759+00,2022-12-01 01:35:02.445+00,0
822,444ad68a-cb49-4294-bbb1-6b7edc679471,1,0,2022-08-31 18:10:26.829+00,2022-12-01 01:35:02.453+00,0
823,2e0751a5-93da-487e-8132-b465cf3d26cb,1,0,2022-08-31 18:10:26.898+00,2022-12-01 01:35:02.46+00,0
2039,e2647c1b-006a-453c-a588-7f17b4147539,1,0,2022-12-28 08:44:56.067+00,2022-12-28 08:44:56.067+00,0
824,2adb8542-b5ef-4d53-b146-5169c6215333,1,0,2022-08-31 18:10:26.969+00,2022-12-01 01:35:02.466+00,0
825,1d688be4-e981-4828-8353-f01e20305f69,1,0,2022-08-31 18:10:27.04+00,2022-12-01 01:35:02.471+00,0
827,544a949b-2a88-4d50-9ca5-5574e5d120b5,1,0,2022-08-31 18:10:27.397+00,2022-12-01 01:35:02.49+00,0
828,62d3ee79-e587-46d0-905e-d40e1c02b093,1,0,2022-08-31 18:10:27.476+00,2022-12-01 01:35:02.496+00,0
1238,d32f3923-afa4-48ea-8b58-ce05069b52ac,1,0,2022-08-31 18:11:06.535+00,2022-12-01 01:35:05.472+00,0
1239,45da5e0e-6b5b-4531-a6bb-8bf427b2afa2,1,0,2022-08-31 18:11:06.645+00,2022-12-01 01:35:05.475+00,0
754,c7d0e979-545c-44ab-99cb-404abe876a8e,1,0,2022-08-31 18:10:21.611+00,2022-12-01 01:35:01.559+00,0
755,b39cf92c-1c91-4f05-9701-6e119ca1f9e6,1,0,2022-08-31 18:10:21.682+00,2022-12-01 01:35:01.563+00,0
756,82802a5e-841a-4e64-91d9-e0f79a55ae4a,1,0,2022-08-31 18:10:21.766+00,2022-12-01 01:35:01.568+00,0
757,8699fe06-d106-41ef-a805-475583537274,1,0,2022-08-31 18:10:21.836+00,2022-12-01 01:35:01.573+00,0
758,007fd575-496d-4212-aa73-edf2f0ab6e9c,1,0,2022-08-31 18:10:21.905+00,2022-12-01 01:35:01.577+00,0
759,05e45d2d-9835-471a-bf8b-4b4471442e59,1,0,2022-08-31 18:10:21.974+00,2022-12-01 01:35:01.581+00,0
1277,606233fa-1860-4be9-a2c2-e3e296e9f842,1,0,2022-08-31 18:11:10.558+00,2022-12-01 01:35:05.625+00,0
1015,ebee3c08-a0d0-4e5b-8523-10d5eb638b6e,1,0,2022-08-31 18:10:44.78+00,2022-12-01 01:35:02.11+00,0
1016,51571622-fc3a-4971-a7b5-2cc356e6a9bb,1,0,2022-08-31 18:10:44.865+00,2022-12-01 01:35:02.129+00,0
995,6283bec5-be57-4a72-a321-1ef2c32d64d8,1,0,2022-08-31 18:10:42.821+00,2022-12-01 01:35:02.136+00,0
997,e04e61b6-5ed4-4591-ae23-2734ea8d485c,1,0,2022-08-31 18:10:42.983+00,2022-12-01 01:35:02.149+00,0
782,379614cd-cf60-418f-a46b-5198e8230b27,1,0,2022-08-31 18:10:23.652+00,2022-12-01 01:35:02.162+00,0
1922,1a31de9c-6655-45c6-99fb-f084d5297c20,1,0,2022-08-31 18:12:09.32+00,2022-12-01 01:35:08.251+00,0
1850,b0116c9f-a5b4-4d96-880d-ff2a2841cef6,1,0,2022-08-31 18:12:03.196+00,2022-12-01 01:35:07.936+00,0
1852,01e8ded8-c009-4c62-9046-e8ecc04a40ce,1,0,2022-08-31 18:12:03.341+00,2022-12-01 01:35:07.943+00,0
1268,937af782-00d9-4137-9939-2de09670f033,1,0,2022-08-31 18:11:09.681+00,2022-12-01 01:35:05.588+00,0
1269,2c90358e-d19c-4cc2-9a1f-b45ffb7d2c4f,1,0,2022-08-31 18:11:09.809+00,2022-12-01 01:35:05.591+00,0
1270,5b58c404-8282-4989-bfa6-49f166aa136d,1,0,2022-08-31 18:11:09.911+00,2022-12-01 01:35:05.594+00,0
1271,2617df95-3807-4c21-8af1-1cdb55e59d1e,1,0,2022-08-31 18:11:09.988+00,2022-12-01 01:35:05.604+00,0
1272,598d91af-c54a-4581-97df-f6503120b831,1,0,2022-08-31 18:11:10.124+00,2022-12-01 01:35:05.608+00,0
1278,e3c048c1-e8d0-428c-a400-7be088522d1a,1,0,2022-08-31 18:11:10.659+00,2022-12-01 01:35:05.628+00,0
1279,335c8304-044a-4736-9a02-2f0e47268215,1,0,2022-08-31 18:11:10.746+00,2022-12-01 01:35:05.632+00,0
1280,abb59419-974a-4735-b76d-717f26ea686a,1,0,2022-08-31 18:11:10.865+00,2022-12-01 01:35:05.635+00,0
1281,24c43781-d3fe-415b-b397-35bf420e47fb,1,0,2022-08-31 18:11:10.967+00,2022-12-01 01:35:05.638+00,0
1282,5b9ab5c8-f8b7-4006-8fa8-65ee669c80e2,1,0,2022-08-31 18:11:11.069+00,2022-12-01 01:35:05.642+00,0
1283,1d272d6d-1ee1-4a24-899c-0b4695f7ff15,1,0,2022-08-31 18:11:11.137+00,2022-12-01 01:35:05.646+00,0
1284,df0361fe-805d-450a-9779-f714881a3603,1,0,2022-08-31 18:11:11.223+00,2022-12-01 01:35:05.656+00,0
1285,cda82e0c-be6f-4bca-b08d-197adec71f93,1,0,2022-08-31 18:11:11.332+00,2022-12-01 01:35:05.66+00,0
1286,7a2be6e4-5cf9-4b20-9187-dad8721ae577,1,0,2022-08-31 18:11:11.417+00,2022-12-01 01:35:05.664+00,0
1287,6c4b67d9-62db-438b-b39a-c4328700bf1d,1,0,2022-08-31 18:11:11.51+00,2022-12-01 01:35:05.668+00,0
1288,809f2e5c-6c81-40da-a2c2-1eea89699e37,1,0,2022-08-31 18:11:11.604+00,2022-12-01 01:35:05.672+00,0
1290,f05fe01e-bf1e-48a6-8857-ccd1b95e843a,1,0,2022-08-31 18:11:11.792+00,2022-12-01 01:35:05.675+00,0
1291,774f6a68-15fc-493d-aaaf-4f9dedd26555,1,0,2022-08-31 18:11:11.877+00,2022-12-01 01:35:05.679+00,0
1292,5edc58aa-a5b9-4305-a836-43c8745c70d9,1,0,2022-08-31 18:11:11.954+00,2022-12-01 01:35:05.683+00,0
1293,ab56a6d8-44bc-45b6-b6ba-c5985c8ffdd9,1,0,2022-08-31 18:11:12.056+00,2022-12-01 01:35:05.687+00,0
1294,b688f1fe-19bb-4bc9-b3c2-ed794d405d19,1,0,2022-08-31 18:11:12.163+00,2022-12-01 01:35:05.691+00,0
1295,416bcd12-1ffa-4509-a87c-69975431ae00,1,0,2022-08-31 18:11:12.239+00,2022-12-01 01:35:05.695+00,0
1296,3a06c8af-72ed-43a0-9ee1-0a4371b86e7f,1,0,2022-08-31 18:11:12.316+00,2022-12-01 01:35:05.699+00,0
1298,af3e271d-ce70-4b51-8781-8d16603babe0,1,0,2022-08-31 18:11:12.504+00,2022-12-01 01:35:05.703+00,0
1299,1cc6ff2e-23ce-4acb-9b1c-68d3500b28cf,1,0,2022-08-31 18:11:12.607+00,2022-12-01 01:35:05.707+00,0
1300,07803dea-4941-44bd-bcf0-cbdca1cce350,1,0,2022-08-31 18:11:12.692+00,2022-12-01 01:35:05.711+00,0
1301,3882cb12-a26a-4f9e-a42f-dc9618e329ee,1,0,2022-08-31 18:11:12.81+00,2022-12-01 01:35:05.715+00,0
1302,f5973775-3c88-451d-8f28-e69177c5bc24,1,0,2022-08-31 18:11:12.887+00,2022-12-01 01:35:05.718+00,0
1303,c2d7c1f8-3028-4b72-a7eb-c69cff1f8f21,1,0,2022-08-31 18:11:13.009+00,2022-12-01 01:35:05.722+00,0
1305,893ef5b3-8a11-411c-97e9-dfc90ea58bf3,1,0,2022-08-31 18:11:13.237+00,2022-12-01 01:35:05.725+00,0
1306,c7aa0105-7331-4b35-85cb-bea018dac14d,1,0,2022-08-31 18:11:13.313+00,2022-12-01 01:35:05.729+00,0
1307,1bc258d6-f974-4807-bb47-0484d3e64c23,1,0,2022-08-31 18:11:13.398+00,2022-12-01 01:35:05.732+00,0
1308,39b90d63-fdfe-40b5-88ba-d9dd2be883a6,1,0,2022-08-31 18:11:13.467+00,2022-12-01 01:35:05.743+00,0
1312,04b18f71-4b46-4ed7-af9a-26188957561c,1,0,2022-08-31 18:11:13.935+00,2022-12-01 01:35:05.754+00,0
1318,1ec06e19-ffeb-4440-8ba6-3ef59b3a2d89,1,0,2022-08-31 18:11:14.47+00,2022-12-01 01:35:05.768+00,0
1319,3cc37ad7-78e1-4078-af60-bfaf15c4ecc6,1,0,2022-08-31 18:11:14.555+00,2022-12-01 01:35:05.772+00,0
1323,f68d62ba-0ec7-481a-a93a-7cd5f1712109,1,0,2022-08-31 18:11:14.955+00,2022-12-01 01:35:05.794+00,0
1324,64632e28-1546-4d3e-aeae-2374f5df1320,1,0,2022-08-31 18:11:15.115+00,2022-12-01 01:35:05.798+00,0
1325,ef302877-067f-4c32-926d-a4aff2dd68ee,1,0,2022-08-31 18:11:15.192+00,2022-12-01 01:35:05.805+00,0
1326,aa0eaaa2-0fcd-4a9f-b3f5-75e29902beaf,1,0,2022-08-31 18:11:15.261+00,2022-12-01 01:35:05.814+00,0
1327,a14703fd-4cee-4678-b57b-a073db976a6b,1,0,2022-08-31 18:11:15.355+00,2022-12-01 01:35:05.821+00,0
1328,7e6fde3d-e7f6-4bbb-b12b-dd72ce1ac3be,1,0,2022-08-31 18:11:15.422+00,2022-12-01 01:35:05.825+00,0
1297,7e6c71a2-9f02-4fa2-bf48-55f89172c6ef,1,0,2022-08-31 18:11:12.384+00,2022-12-01 01:35:05.833+00,0
1329,e6dc20db-7aa3-43f1-9bbe-07c5e4f4cf54,1,0,2022-08-31 18:11:15.499+00,2022-12-01 01:35:05.843+00,0
1330,774424a8-6583-44cb-ab36-e9df38009fd2,1,0,2022-08-31 18:11:15.582+00,2022-12-01 01:35:05.847+00,0
1763,fec5076c-3fa0-4bf0-99d9-eea5d99aa7a5,1,0,2022-08-31 18:11:55.529+00,2022-12-01 01:35:07.519+00,0
1331,88e4c9a9-dc6d-443a-a75f-e844ca8b0e50,1,0,2022-08-31 18:11:15.667+00,2022-12-01 01:35:05.85+00,0
1332,efde5299-6339-415f-9d15-fe3ee2a2843d,1,0,2022-08-31 18:11:15.773+00,2022-12-01 01:35:05.853+00,0
1333,60c9459c-3c0c-49b7-9375-3d44cfa34bb8,1,0,2022-08-31 18:11:15.851+00,2022-12-01 01:35:05.86+00,0
1334,c5c67de5-3e18-4eae-83d9-84d4c2ec885f,1,0,2022-08-31 18:11:15.936+00,2022-12-01 01:35:05.868+00,0
1335,0dc70c46-fe02-4068-9e34-9560c15978c9,1,0,2022-08-31 18:11:16.005+00,2022-12-01 01:35:05.872+00,0
1336,507198ae-3220-4ad3-a837-c4f8bd828122,1,0,2022-08-31 18:11:16.082+00,2022-12-01 01:35:05.876+00,0
1337,3070c2f7-b6ee-4605-8807-3bf93bd6307f,1,0,2022-08-31 18:11:16.203+00,2022-12-01 01:35:05.882+00,0
1338,49788783-5949-4d90-bf91-c2b377d2b648,1,0,2022-08-31 18:11:16.289+00,2022-12-01 01:35:05.888+00,0
1339,34ab002c-63b2-4c36-b1f9-b878c29e2cc1,1,0,2022-08-31 18:11:16.373+00,2022-12-01 01:35:05.892+00,0
1342,4acd4e92-4c9c-4e9d-ac25-fdb972633d32,1,0,2022-08-31 18:11:16.655+00,2022-12-01 01:35:05.917+00,0
1343,7d180558-ea48-40a6-8832-35ced2b87b50,1,0,2022-08-31 18:11:16.732+00,2022-12-01 01:35:05.922+00,0
1344,e04d7a5a-8fbe-496a-aaf7-2a33fec4dec0,1,0,2022-08-31 18:11:16.972+00,2022-12-01 01:35:05.926+00,0
1345,25b3b2b7-54f0-496d-aaeb-4115db8e7c0b,1,0,2022-08-31 18:11:17.051+00,2022-12-01 01:35:05.93+00,0
1347,0742fa33-4320-47c3-b582-66bdda9efbce,1,0,2022-08-31 18:11:17.24+00,2022-12-01 01:35:05.937+00,0
1348,0b7532aa-bf49-4ae8-bc4f-71103a6b6980,1,0,2022-08-31 18:11:17.317+00,2022-12-01 01:35:05.941+00,0
647,386f2e6c-09f6-4f14-9075-465033ec5ae6,1,0,2022-08-31 18:10:13.414+00,2022-12-01 01:35:00.728+00,0
931,5f540de3-bee2-4372-8044-538d00c8c0d9,1,0,2022-08-31 18:10:36.963+00,2022-08-31 18:10:36.963+00,0
648,aaed2d69-4b65-4ac1-a083-bb0ee9e0eb3f,1,0,2022-08-31 18:10:13.484+00,2022-12-01 01:35:00.732+00,0
646,874ad9e2-2784-4554-ae4c-610625adc462,1,0,2022-08-31 18:10:13.345+00,2022-12-01 01:35:00.725+00,0
649,abfaae3c-539c-4cc7-81b7-cc5d209d2cad,1,0,2022-08-31 18:10:13.554+00,2022-12-01 01:35:00.735+00,0
650,c3fc46c7-6c72-45bc-90e3-7e62ee382267,1,0,2022-08-31 18:10:13.625+00,2022-12-01 01:35:00.739+00,0
699,49c7379c-bd99-40ec-8b85-a7a965fd191f,1,0,2022-08-31 18:10:17.471+00,2022-12-01 01:35:01.081+00,0
700,5e31d14b-25fc-4d58-a5d1-031a633f7574,1,0,2022-08-31 18:10:17.599+00,2022-12-01 01:35:01.086+00,0
701,b1214a11-4cdf-4909-9e72-5551700b5168,1,0,2022-08-31 18:10:17.669+00,2022-12-01 01:35:01.09+00,0
702,7e514764-ce72-4d7b-926d-0eb528058e0b,1,0,2022-08-31 18:10:17.738+00,2022-12-01 01:35:01.095+00,0
703,a662277a-5dee-48a5-a853-f938391306aa,1,0,2022-08-31 18:10:17.806+00,2022-12-01 01:35:01.099+00,0
704,f260d08a-1d10-4347-a3f1-ec209a238e42,1,0,2022-08-31 18:10:17.876+00,2022-12-01 01:35:01.112+00,0
705,b7d61b66-249c-4d21-a56b-5649557678e9,1,0,2022-08-31 18:10:17.95+00,2022-12-01 01:35:01.158+00,0
1311,5f249ebb-da10-4d36-82fb-a816da19562e,1,48.313237381824464,2022-08-31 18:11:13.725+00,2022-12-16 08:10:11.144+00,0
